desc,namespace,name,code,formula,factor_category_id,data_type,timeUnit,initStart,dataPhysicalTableId,jobType,dataPhysicalTableCode
,stock.factor,一月内日收益平方和,day_r_square_sum_1m,"sum_t(Day_Yield^2,-1:0,MD)",,,,2018-01-01,,,barbeyond_store.aShare_funds
,stock.factor,三月内日收益平方和,day_r_square_sum_3m,"sum_t(Day_Yield^2,-3:0,MD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,六月内日收益平方和,day_r_square_sum_6m,"sum_t(Day_Yield^2,-6:0,MD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,一年内日收益平方和,day_r_square_sum_1y,"sum_t(Day_Yield^2,-1:0,YD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,两年内日收益平方和,day_r_square_sum_2y,"sum_t(Day_Yield^2,-2:0,YD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,三年内日收益平方和,day_r_square_sum_3y,"sum_t(Day_Yield^2,-3:0,YD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,五年内日收益平方和,day_r_square_sum_5y,"sum_t(Day_Yield^2,-5:0,YD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,上一整年日收益平方和,day_r_square_sum_1wy,"sum_t(Day_Yield^2,-1:0,WYD)",,,EYD,2000-01-01,,,barbeyond_store.aShare_funds_year
,stock.factor,上一整月日收益平方和,day_r_square_sum_1wm,"sum_t(Day_Yield^2,-1:0,WMD)",,,EMD,2000-01-01,,,barbeyond_store.aShare_funds_month
,stock.factor,成立以来日收益平方和,day_r_square_sum_sincetotal,"sum_t(Day_Yield^2,-inf:0,D)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,一月内周收益平方和,week_r_square_sum_1m,"sum_t(Return_Weekly^2,-1:0,MD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,三月内周收益平方和,week_r_square_sum_3m,"sum_t(Return_Weekly^2,-3:0,MD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,六月内周收益平方和,week_r_square_sum_6m,"sum_t(Return_Weekly^2,-6:0,MD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,一年内周收益平方和,week_r_square_sum_1y,"sum_t(Return_Weekly^2,-1:0,YD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,两年内周收益平方和,week_r_square_sum_2y,"sum_t(Return_Weekly^2,-2:0,YD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,三年内周收益平方和,week_r_square_sum_3y,"sum_t(Return_Weekly^2,-3:0,YD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,五年内周收益平方和,week_r_square_sum_5y,"sum_t(Return_Weekly^2,-5:0,YD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,上一整年周收益平方和,week_r_square_sum_1wy,"sum_t(Return_Weekly^2,-1:0,WYD)",,,EYD,2000-01-01,,,barbeyond_store.aShare_funds_year
,stock.factor,上一整月周收益平方和,week_r_square_sum_1wm,"sum_t(Return_Weekly^2,-1:0,WMD)",,,EMD,2000-01-01,,,barbeyond_store.aShare_funds_month
,stock.factor,成立以来周收益平方和,week_r_square_sum_sincetotal,"sum_t(Return_Weekly^2,-inf:0,D)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,一月内月收益平方和,month_r_square_sum_1m,"sum_t(Return_Monthly^2,-1:0,MD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,三月内月收益平方和,month_r_square_sum_3m,"sum_t(Return_Monthly^2,-3:0,MD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,六月内月收益平方和,month_r_square_sum_6m,"sum_t(Return_Monthly^2,-6:0,MD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,一年内月收益平方和,month_r_square_sum_1y,"sum_t(Return_Monthly^2,-1:0,YD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,两年内月收益平方和,month_r_square_sum_2y,"sum_t(Return_Monthly^2,-2:0,YD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,三年内月收益平方和,month_r_square_sum_3y,"sum_t(Return_Monthly^2,-3:0,YD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,五年内月收益平方和,month_r_square_sum_5y,"sum_t(Return_Monthly^2,-5:0,YD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,上一整年月收益平方和,month_r_square_sum_1wy,"sum_t(Return_Monthly^2,-1:0,WYD)",,,EYD,2000-01-01,,,barbeyond_store.aShare_funds_year
,stock.factor,上一整月月收益平方和,month_r_square_sum_1wm,"sum_t(Return_Monthly^2,-1:0,WMD)",,,EMD,2000-01-01,,,barbeyond_store.aShare_funds_month
,stock.factor,成立以来月收益平方和,month_r_square_sum_sincetotal,"sum_t(Return_Monthly^2,-inf:0,D)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,一月内天数,count_d_1m,"count_t(1=1,-1:0,MD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,三月内天数,count_d_3m,"count_t(1=1,-3:0,MD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,六月内天数,count_d_6m,"count_t(1=1,-6:0,MD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,一年内天数,count_d_1y,"count_t(1=1,-1:0,YD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,两年内天数,count_d_2y,"count_t(1=1,-2:0,YD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,三年内天数,count_d_3y,"count_t(1=1,-3:0,YD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,五年内天数,count_d_5y,"count_t(1=1,-5:0,YD)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,上一整年天数,count_d_1wy,"count_t(1=1,-1:0,WYD)",,,EYD,2000-01-01,,,barbeyond_store.aShare_funds_year
,stock.factor,上一整月天数,count_d_1wm,"count_t(1=1,-1:0,WMD)",,,EMD,2000-01-01,,,barbeyond_store.aShare_funds_month
,stock.factor,今年以来天数,count_d_sinceyear,"count_t(1=1,0BYD:0D,D)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,成立以来天数,count_d_sincetotal,"count_t(1=1,-inf:0,D)",,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,一个月周度目标波动率,targetvol_weekly_1m,(week_r_square_sum_1m/(count_d_1m-1))^0.5,,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,三个月周度目标波动率,targetvol_weekly_3m,(week_r_square_sum_3m/(count_d_3m-1))^0.5,,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,六个月周度目标波动率,targetvol_weekly_6m,(week_r_square_sum_6m/(count_d_6m-1))^0.5,,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,一年周度目标波动率,targetvol_weekly_1y,(week_r_square_sum_1y/(count_d_1y-1))^0.5,,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,两年周度目标波动率,targetvol_weekly_2y,(week_r_square_sum_2y/(count_d_2y-1))^0.5,,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,三年周度目标波动率,targetvol_weekly_3y,(week_r_square_sum_3y/(count_d_3y-1))^0.5,,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,五年周度目标波动率,targetvol_weekly_5y,(week_r_square_sum_5y/(count_d_5y-1))^0.5,,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,上一年以来周度目标波动率,targetvol_weekly_wyd,(week_r_square_sum_1wy/(count_d_1wy-1))^0.5,,,EYD,2000-01-01,,,barbeyond_store.aShare_funds_year
,stock.factor,上一月以来周度目标波动率,targetvol_weekly_wmd,(week_r_square_sum_1wm/(count_d_1wm-1))^0.5,,,EMD,2000-01-01,,,barbeyond_store.aShare_funds_month
,stock.factor,一个月月度目标波动率,targetvol_monthly_1m,(month_r_square_sum_1m/(count_d_1m-1))^0.5,,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,三个月月度目标波动率,targetvol_monthly_3m,(month_r_square_sum_3m/(count_d_3m-1))^0.5,,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,六个月月度目标波动率,targetvol_monthly_6m,(month_r_square_sum_6m/(count_d_6m-1))^0.5,,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,一年月度目标波动率,targetvol_monthly_1y,(month_r_square_sum_1y/(count_d_1y-1))^0.5,,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,两年月度目标波动率,targetvol_monthly_2y,(month_r_square_sum_2y/(count_d_2y-1))^0.5,,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,三年月度目标波动率,targetvol_monthly_3y,(month_r_square_sum_3y/(count_d_3y-1))^0.5,,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,五年月度目标波动率,targetvol_monthly_5y,(month_r_square_sum_5y/(count_d_5y-1))^0.5,,,,2023-03-01,,,barbeyond_store.aShare_funds
,stock.factor,上一年以来月度目标波动率,targetvol_monthly_wyd,(month_r_square_sum_1wy/(count_d_1wy-1))^0.5,,,EYD,2000-01-01,,,barbeyond_store.aShare_funds_year
,stock.factor,上一月以来月度目标波动率,targetvol_monthly_wmd,(month_r_square_sum_1wm/(count_d_1wm-1))^0.5,,,EMD,2000-01-01,,,barbeyond_store.aShare_funds_month
,stock.factor,一个月年化日度收益率,annual_ret_daily_1m,"(g_avg_return_t(Day_Yield,-1:0,MD)+1)^250 - 1",,,,2023-03-01,,,barbeyond_store.aShare_funds
