desc,namespace,name,code,formula,factor_category_id,data_type,timeUnit,initStart,dataPhysicalTableId,jobType,dataPhysicalTableCode
,stock.factor,上一整年天数,count_d_1wy,"count_t(1=1,-1:0,WYD)",,,EYD,2000/1/1,,,barbeyond_store.aShare_benchmarks_year
,stock.factor,上一整月天数,count_d_1wm,"count_t(1=1,-1:0,WMD)",,,EMD,2000/1/1,,,barbeyond_store.aShare_benchmarks_month
1,stock.factor,上一整年日收益平方和,day_r_square_sum_1wy,"sum_t(Day_Yield^2,-1:0,WYD)",,,EYD,2000/1/1,,,barbeyond_store.aShare_benchmarks_year
,stock.factor,上一整月日收益平方和,day_r_square_sum_1wm,"sum_t(Day_Yield^2,-1:0,WMD)",,,EMD,2000/1/1,,,barbeyond_store.aShare_benchmarks_month
1,stock.factor,上一整年月收益平方和,month_r_square_sum_1wy,"sum_t(Return_Monthly1^2,-1:0,WYD)",,,EYD,2000/1/1,,,barbeyond_store.aShare_benchmarks_year
,stock.factor,上一整月月收益平方和,month_r_square_sum_1wm,"sum_t(Return_Monthly1^2,-1:0,WMD)",,,EMD,2000/1/1,,,barbeyond_store.aShare_benchmarks_month
1,stock.factor,上一整年平均超额日收益,avg_excess_day_yield_1wy,"avg_t(excess_day_yield,-1:0,WYD)",,,EYD,2000/1/1,,,barbeyond_store.aShare_benchmarks_year
,stock.factor,上一整月平均超额日收益,avg_excess_day_yield_1wm,"avg_t(excess_day_yield,-1:0,WMD)",,,EMD,2000/1/1,,,barbeyond_store.aShare_benchmarks_month
1,stock.factor,上一整年平均超额周收益,avg_excess_week_yield_1wy,"avg_t(excess_week_yield,-1:0,WYD)",,,EYD,2000/1/1,,,barbeyond_store.aShare_benchmarks_year
,stock.factor,上一整月平均超额周收益,avg_excess_week_yield_1wm,"avg_t(excess_week_yield,-1:0,WMD)",,,EMD,2000/1/1,,,barbeyond_store.aShare_benchmarks_month
1,stock.factor,上一整年平均超额月收益,avg_excess_month_yield_1wy,"avg_t(excess_month_yield,-1:0,WYD)",,,EYD,2000/1/1,,,barbeyond_store.aShare_benchmarks_year
,stock.factor,上一整月平均超额月收益,avg_excess_month_yield_1wm,"avg_t(excess_month_yield,-1:0,WMD)",,,EMD,2000/1/1,,,barbeyond_store.aShare_benchmarks_month
1,stock.factor,上一整年平均超基准日收益,avg_excess_day_yield_1wy_basic,"avg_t(excess_day_yield_basic,-1:0,WYD)",,,EYD,2000/1/1,,,barbeyond_store.aShare_benchmarks_year
,stock.factor,上一整月平均超基准日收益,avg_excess_day_yield_1wm_basic,"avg_t(excess_day_yield_basic,-1:0,WMD)",,,EMD,2000/1/1,,,barbeyond_store.aShare_benchmarks_month
1,stock.factor,上一整年平均超基准周收益,avg_excess_week_yield_1wy_basic,"avg_t(excess_week_yield_basic,-1:0,WYD)",,,EYD,2000/1/1,,,barbeyond_store.aShare_benchmarks_year
,stock.factor,上一整月平均超基准周收益,avg_excess_week_yield_1wm_basic,"avg_t(excess_week_yield_basic,-1:0,WMD)",,,EMD,2000/1/1,,,barbeyond_store.aShare_benchmarks_month
1,stock.factor,上一整年平均超基准月收益,avg_excess_month_yield_1wy_basic,"avg_t(excess_month_yield_basic,-1:0,WYD)",,,EYD,2000/1/1,,,barbeyond_store.aShare_benchmarks_year
,stock.factor,上一整月平均超基准月收益,avg_excess_month_yield_1wm_basic,"avg_t(excess_month_yield_basic,-1:0,WMD)",,,EMD,2000/1/1,,,barbeyond_store.aShare_benchmarks_month
,stock.factor,一整年基金累积收益,cummul_fund_return_1wy,"cummul_t(Day_Yield,-1:0,WYD)",,,EYD,2000/1/1,,,barbeyond_store.aShare_benchmarks_year
,stock.factor,一整月基金累积收益,cummul_fund_return_1wm,"cummul_t(Day_Yield,-1:0,WMD)",,,EMD,2000/1/1,,,barbeyond_store.aShare_benchmarks_month
1,stock.factor,上一整年年化日度收益率,annual_ret_daily_wyd,"(g_avg_return_t(Day_Yield,-1:0,WYD)+1)^250 - 1",,,EYD,2000/1/1,,,barbeyond_store.aShare_benchmarks_year
1,stock.factor,上一整月年化日度收益率,annual_ret_daily_wmd,"(g_avg_return_t(Day_Yield,-1:0,WMD)+1)^250 - 1",,,EMD,2000/1/1,,,barbeyond_store.aShare_benchmarks_month
1,stock.factor,上一整年年化周度收益率,annual_ret_weekly_wyd,"(g_avg_return_t(Return_Weekly1,-1BYD:0EYD,PW)+1)^52 - 1",,,EYD,2000/1/1,,,barbeyond_store.aShare_benchmarks_year
1,stock.factor,上一整月年化周度收益率,annual_ret_weekly_wmd,"(g_avg_return_t(Return_Weekly1,-1BMD:0EMD,PW)+1)^52 - 1",,,EMD,2000/1/1,,,barbeyond_store.aShare_benchmarks_month
1,stock.factor,上一整年年化月度收益率,annual_ret_monthly_wyd,"(g_avg_return_t(Return_Monthly1,-1BYD:0EYD,PM)+1)^12 - 1",,,EYD,2000/1/1,,,barbeyond_store.aShare_benchmarks_year
1,stock.factor,上一整月年化月度收益率,annual_ret_monthly_wmd,"(g_avg_return_t(Return_Monthly1,-1BMD:0EMD,PM)+1)^12 - 1",,,EMD,2000/1/1,,,barbeyond_store.aShare_benchmarks_month
,private_fund.factor,一整年基金基准收益,cummul_basic_return_1wy,"cummul_t(basic_day_r_aid,-1:0,WYD)",,,EYD,2000/1/1,,,barbeyond_store.private_funds_year
,private_fund.factor,一整月基金基准收益,cummul_basic_return_1wm,"cummul_t(basic_day_r_aid,-1:0,WMD)",,,EMD,2000/1/1,,,barbeyond_store.private_funds_month
1,stock.factor,上一整年相对超额收益,relexcess_ret_wyd,(cummul_fund_return_1wy+1)/(cummul_basic_return_1wy+1) - 1,,,EYD,2000/1/1,,,barbeyond_store.aShare_benchmarks_year
1,stock.factor,上一整月相对超额收益,relexcess_ret_wmd,(cummul_fund_return_1wm+1)/(cummul_basic_return_1wm+1) - 1,,,EMD,2000/1/1,,,barbeyond_store.aShare_benchmarks_month
1,stock.factor,上一整年日度阿尔法,alpha_daily_wyd,"exposure_t(excess_day_yield,[Index_Return - macro_cost_risk_free],-1:0,WYD,0)",,,EYD,2000/1/1,,,barbeyond_store.aShare_benchmarks_year
1,stock.factor,上一整月日度阿尔法,alpha_daily_wmd,"exposure_t(excess_day_yield,[Index_Return - macro_cost_risk_free],-1:0,WMD,0)",,,EMD,2000/1/1,,,barbeyond_store.aShare_benchmarks_month
1,stock.factor,上一整年周度阿尔法,alpha_weekly_wyd,"exposure_t(excess_week_yield,[Index_Return_Weekly1 - FreeRisk_Interest_Weekly],-1:0,WYD,0)",,,EYD,2000/1/1,,,barbeyond_store.aShare_benchmarks_year
1,stock.factor,上一整月周度阿尔法,alpha_weekly_wmd,"exposure_t(excess_week_yield,[Index_Return_Weekly1 - FreeRisk_Interest_Weekly],-1:0,WMD,0)",,,EMD,2000/1/1,,,barbeyond_store.aShare_benchmarks_month
1,stock.factor,上一整年月度阿尔法,alpha_monthly_wyd,"exposure_t(excess_month_yield,[Index_Return_Monthly1 - FreeRisk_Interest_Monthly],-1:0,WYD,0)",,,EYD,2000/1/1,,,barbeyond_store.aShare_benchmarks_year
1,stock.factor,上一整月月度阿尔法,alpha_monthly_wmd,"exposure_t(excess_month_yield,[Index_Return_Monthly1 - FreeRisk_Interest_Monthly],-1:0,WMD,0)",,,EMD,2000/1/1,,,barbeyond_store.aShare_benchmarks_month
1,stock.factor,上一整年日度贝塔,beta_daily_wyd,"exposure_t(excess_day_yield,[Index_Return-macro_cost_risk_free],-1:0,WYD,1)",,,EYD,2000/1/1,,,barbeyond_store.aShare_benchmarks_year
1,stock.factor,上一整月日度贝塔,beta_daily_wmd,"exposure_t(excess_day_yield,[Index_Return-macro_cost_risk_free],-1:0,WMD,1)",,,EMD,2000/1/1,,,barbeyond_store.aShare_benchmarks_month
1,stock.factor,上一整年周度贝塔,beta_weekly_wyd,"exposure_t(excess_week_yield,[Index_Return_Weekly1-FreeRisk_Interest_Weekly],-1:0,WYD,1)",,,EYD,2000/1/1,,,barbeyond_store.aShare_benchmarks_year
